id,title,price,currency_id,available_quantity,sold_quantity,condition,category_id,permalink
MLA1398767505,Google Home Mini Con Asistente Virtual Multi-room Ref,99990,ARS,,,new,MLA409415,https://articulo.mercadolibre.com.ar/MLA-1398767505-google-home-mini-con-asistente-virtual-multi-room-ref-_JM
MLA1847811404,"Amazon Fire Tv Stick 4k Streaming, Con Alexa Voice Remote Color Negro",91900,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1847811404-amazon-fire-tv-stick-4k-streaming-con-alexa-voice-remote-color-negro-_JM
MLA1481927821,Google Chromecast 4k Chromecast With Google Tv Ga01923-us 4.ª Generación 4k 8gb Cielo Con 2gb De Memoria Ram,174999,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1481927821-google-chromecast-4k-chromecast-with-google-tv-ga01923-us-4-generacion-4k-8gb-cielo-con-2gb-de-memoria-ram-_JM
MLA1991282518,Google Chromecast Con Google Tv 4k Uhd Color Sky,154326.0,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1991282518-google-chromecast-con-google-tv-4k-uhd-color-sky-_JM
MLA1469079133,Google Chromecast 4k Hd (4ta Generacion) Blanco+control,174999,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1469079133-google-chromecast-4k-hd-4ta-generacion-blancocontrol-_JM
MLA1476893929,Amazon Fire Tv Stick 4k Max Streaming Wifi 6,96182.0,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1476893929-amazon-fire-tv-stick-4k-max-streaming-wifi-6-_JM
MLA2021037346,Google Tv Streamer 4k Smart Netflix Hdr 2024 Androidtv,232990,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-2021037346-google-tv-streamer-4k-smart-netflix-hdr-2024-androidtv-_JM
MLA1445281453,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi,143999,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1445281453-chromecast-google-tv-hd-8gb-2gb-ram-60-fps-wifi-_JM
MLA1482570587,Google Chromecast 4 Generación Con Google Tv Blanco,199999,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1482570587-google-chromecast-4-generacion-con-google-tv-blanco-_JM
MLA1465095701,Chromecast With Google Tv De Voz 4 Generación 4k 8gb,149570,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1465095701-chromecast-with-google-tv-de-voz-4-generacion-4k-8gb-_JM
