Economy ISO3,Economy Name,Indicator ID,Indicator,Attribute 1,Attribute 2,Attribute 3,Partner,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,Angola,ITU.DDD.21,Male Internet users as a % of total male population,Actual,-,-,-,,,,,22.4,,,,,,,,,
AGO,Angola,ITU.DDD.22,Male mobile phone ownership as a % of total male population,Actual,-,-,-,,,,,77.6,,,,,,,,,
AGO,Angola,ITU.DDD.23,Mobile broadband basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,5.6,5.6,3.2,3.6,2.7,
AGO,Angola,ITU.DDD.24,Mobile cellular basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,3.5,3.5,3.1,2.4,1.8,
AGO,Angola,ITU.DDD.25,Mobile data and voice basket (high consumption) as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,12.8,12.8,9.6,5.9,4.5,
AGO,Angola,ITU.DDD.26,Mobile data and voice basket (low consumption) as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,5.4,5.4,5.3,2.4,1.8,
AGO,Angola,ITU.DDD.27,Mobile-cellular subscriptions per 100 inhabitants,Actual,-,-,-,40.2,49.8,50.8,50.8,51.8,49.4,44.6,44.1,42.5,45.8,43.8,44.4,66.7,
AGO,Angola,ITU.DDD.28,Monthly fixed broadband Internet traffic per fixed broadband subscription (MB),Actual,-,-,-,,52.7,81.3,194.5,1084.9,16279.1,37500.0,37877.0,2449.2,2309.6,48004.7,60239.4,71773.7,
AGO,Angola,ITU.DDD.29,Monthly mobile broadband Internet traffic per mobile broadband subscription (MB),Actual,-,-,-,,413.4,184.2,231.3,36.3,,182.6,382.8,436.4,420.3,761.8,1017.0,1546.7,
AGO,Angola,ITU.DDD.3,Female mobile phone ownership as a % of total female population,Actual,-,-,-,,,,,79.8,,,,,,,,,
AGO,Angola,ITU.DDD.30,Population covered by a mobile-cellular network (%),Actual,-,-,-,,,,90.0,92.0,99.0,90.0,90.0,90.0,90.0,90.0,100.0,100.0,
